Grade name,Course name,MS Seq,concat2,MS description,MS-short-desc,MS-short-desc-seq,Baseline CMD,Subject milestone
1,Telugu,14,1Telugu14,"e, ea and ai words, eluka, eanugu, aidu",e-ea-ai-words-eluka-eanugu-aidu,14-e-ea-ai-words-eluka-eanugu-aidu,9,Telugu: 14-e-ea-ai-words-eluka-eanugu-aidu
1,Telugu,15,1Telugu15,"e, ea and ai words, saikilu, railu, telugu",e-ea-ai-words-saikilu-railu-telugu,15-e-ea-ai-words-saikilu-railu-telugu,11,Telugu: 15-e-ea-ai-words-saikilu-railu-telugu
1,Telugu,16,1Telugu16,"o, oa and au words, okati, onte, oaDa",o-oa-au-words-okati-onte-oaDa,16-o-oa-au-words-okati-onte-oaDa,8,Telugu: 16-o-oa-au-words-okati-onte-oaDa
1,Telugu,17,1Telugu17,"o, oa and au words, nauka, poudaru",o-oa-au-words-nauka-poudaru,17-o-oa-au-words-nauka-poudaru,10,Telugu: 17-o-oa-au-words-nauka-poudaru
1,Telugu,18,1Telugu18,"La, ha, sha, Na",La-ha-sha-Na,18-La-ha-sha-Na,8,Telugu: 18-La-ha-sha-Na
1,Telugu,19,1Telugu19,"kha, gha, cha, Tha, Dha",kha-gha-cha-Tha-Dha,19-kha-gha-cha-Tha-Dha,10,Telugu: 19-kha-gha-cha-Tha-Dha
1,Telugu,20,1Telugu20,"tha, jha, dha, pha and bha",tha-jha-dha-pha-bha,20-tha-jha-dha-pha-bha,8,Telugu: 20-tha-jha-dha-pha-bha
1,Telugu,21,1Telugu21,Revision,Revision,21-Revision,3,Telugu: 21-Revision
2,English,1,2English1,"The alphabet, sounds",Alphabet-sounds,01-Alphabet-sounds,26,English: 01-Alphabet-sounds
2,English,2,2English2,Words related to Family,Family-words,02-Family-words,16,English: 02-Family-words
2,English,3,2English3,Words related to School,School-words,03-School-words,16,English: 03-School-words
2,English,4,2English4,Words related to Habits,Habits-words,04-Habits-words,16,English: 04-Habits-words
2,English,5,2English5,Words related to Animals,Animals-words,05-Animals-words,16,English: 05-Animals-words
